City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time,Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Fare Amount,Fare Currency
San Francisco,uberX,COMPLETED,2016-11-26 20:29:57 +0000 UTC,2016-11-26 20:41:53 +0000 UTC,37.3325622082,-121.912589846,"1300 The Alameda, San Jose, CA 95126, USA",2016-11-26 20:59:06 +0000 UTC,37.4052237533,-122.013561018,"450 Persian Dr, Sunnyvale, CA 94089, USA",9.31,16.35,USD
San Francisco,uberX,COMPLETED,2016-11-26 02:04:47 +0000 UTC,2016-11-26 02:10:56 +0000 UTC,37.3240524052,-121.947302929,"3041 Stevens Creek Blvd, Santa Clara, CA 95050, USA",2016-11-26 02:26:54 +0000 UTC,37.3331276514,-121.912571993,"1300 The Alameda, San Jose, CA 95126, USA",2.75,8.78,USD
San Francisco,uberX,COMPLETED,2016-11-25 00:39:08 +0000 UTC,2016-11-25 00:46:44 +0000 UTC,37.432473572,-122.087898692,"3160 N Shoreline Blvd, Mountain View, CA 94043, USA",2016-11-25 01:06:09 +0000 UTC,37.3328514258,-121.912814565,"1300 The Alameda, San Jose, CA 95126, USA",15.06,26.44,USD
Seattle,UberEATS,COMPLETED,2016-11-23 21:03:46 +0000 UTC,2016-11-23 21:04:06 +0000 UTC,47.6120555,-122.3473374,,2016-11-23 21:50:26 +0000 UTC,47.6120555,-122.3473374,,1.13,15.99,USD
Seattle,uberPOOL: MATCHED,COMPLETED,2016-11-19 21:59:41 +0000 UTC,2016-11-19 22:05:15 +0000 UTC,47.6119009,-122.3477347,"2226 Elliott Ave, Seattle, WA 98121, USA",2016-11-19 22:34:25 +0000 UTC,47.6584274,-122.313293,"4220 University Way NE, Seattle, WA 98105, USA",5.97,8.8,USD
Seattle,uberPOOL,CANCELED,2016-11-19 21:39:09 +0000 UTC,2016-11-19 21:54:00 +0000 UTC,47.5922352,-122.335537,"2226 Elliott Ave, Seattle, WA 98121, USA",1970-01-01 00:00:00 +0000 UTC,47.6050852,-122.3393518,"4220 University Way NE, Seattle, WA 98105, USA",0.00,2,USD
Seattle,uberX,COMPLETED,2016-11-19 02:34:02 +0000 UTC,2016-11-19 02:40:24 +0000 UTC,47.611899,-122.347672,"2226 Elliott Ave, Seattle, WA 98121, USA",2016-11-19 02:49:24 +0000 UTC,47.624928,-122.3475331,"500 Mercer St, Seattle, WA 98109, USA",1.39,6.22,USD
Seattle,uberPOOL,COMPLETED,2016-11-16 03:44:02 +0000 UTC,2016-11-16 03:52:31 +0000 UTC,47.6120806,-122.3480699,"2226 Elliott Ave, Seattle, WA 98121, USA",2016-11-16 03:57:33 +0000 UTC,47.6247606,-122.3474333,"500 Mercer St, Seattle, WA 98109, USA",1.12,4,USD
Seattle,uberX,COMPLETED,2016-11-15 03:18:56 +0000 UTC,2016-11-15 03:22:10 +0000 UTC,47.6118144088,-122.347489588,"2226 Elliott Ave, Seattle, WA 98121, USA",2016-11-15 03:26:57 +0000 UTC,47.624890145,-122.347560069,"500 Mercer St, Seattle, WA 98109, USA",1.38,6.72,USD
Seattle,UberEATS,COMPLETED,2016-11-14 03:09:02 +0000 UTC,2016-11-14 03:09:29 +0000 UTC,47.6120555,-122.3473374,,2016-11-14 03:40:48 +0000 UTC,47.6120555,-122.3473374,,0.51,30.18,USD
